file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,49,7,0,1,0,0,43,0,6,1,5,1,0,0,0,67,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,enum,1,4,3,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,50,7,0,1,0,0,43,0,6,1,5,1,0,0,0,57,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,43,7,0,1,0,0,22,0,6,1,5,1,0,0,0,31,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\PatientReligion.java,com.github.chistousov.lib.astm1394.record.patient.PatientReligion,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,44,7,0,1,0,0,25,0,6,1,5,1,0,0,0,34,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\Record.java,com.github.chistousov.lib.astm1394.record.Record,class,3,15,12,3,14,1,10,12,30,0.74725276,0.30769232,0.84615386,13,0,10,0,3,0,13,0,0,0,7,0,0,7,0,0,0,0,4,65,9,0,0,1,0,5,4,13,2,9,1,0,0,0,41,1025,0
C:\projects\ASTM1394\src\test\java\com\github\chistousov\lib\astm1394\centaurxp\IWithCommentsCentaurXP.java,com.github.chistousov.lib.astm1394.centaurxp.IWithCommentsCentaurXP,interface,2,3,1,2,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\order\SpecimenDescriptor.java,com.github.chistousov.lib.astm1394.record.order.SpecimenDescriptor,class,1,1,0,1,5,1,0,1,0,0.4,0.6,1,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,20,2,0,0,0,0,0,0,4,0,2,0,0,0,0,51,1,0
C:\projects\ASTM1394\src\test\java\com\github\chistousov\lib\astm1394\centaurxp\PatientInformationCentaurXPRecord.java,com.github.chistousov.lib.astm1394.centaurxp.PatientInformationCentaurXPRecord,class,3,4,1,3,2,3,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\projects\ASTM1394\src\test\java\com\github\chistousov\lib\astm1394\centaurxp\ResultCentaurXPRecord.java,com.github.chistousov.lib.astm1394.centaurxp.ResultCentaurXPRecord,class,2,4,2,2,2,3,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\Component.java,com.github.chistousov.lib.astm1394.record.Component,class,1,14,13,1,19,1,0,11,0,0.33333334,1,1,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,5,64,9,0,2,1,2,2,0,10,0,3,2,0,0,0,29,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationRecord.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationRecord,class,5,8,3,5,30,2,0,20,279,0.888889,0.102564104,0.7293447,27,0,27,0,0,0,27,0,0,0,12,0,0,12,0,0,0,0,2,141,13,0,3,0,0,2,27,35,1,25,1,0,0,3,103,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\comment\CommentType.java,com.github.chistousov.lib.astm1394.record.comment.CommentType,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,43,7,0,1,0,0,22,0,6,1,5,1,0,0,0,32,1,0
C:\projects\ASTM1394\src\test\java\com\github\chistousov\lib\astm1394\centaurxp\RequestInformationCentaurXPRecord.java,com.github.chistousov.lib.astm1394.centaurxp.RequestInformationCentaurXPRecord,class,2,3,1,2,2,3,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\order\ActionCode.java,com.github.chistousov.lib.astm1394.record.order.ActionCode,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,45,7,0,1,0,0,28,0,6,1,5,1,0,0,0,65,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\PatientRaceEthnicOrigin.java,com.github.chistousov.lib.astm1394.record.patient.PatientRaceEthnicOrigin,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,43,7,0,1,0,0,22,0,6,1,5,1,0,0,0,33,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\RecordType.java,com.github.chistousov.lib.astm1394.record.RecordType,enum,1,4,3,1,8,1,0,3,1,0.5833334,0.2857143,0.47619048,6,1,5,0,0,1,7,0,0,0,4,1,0,4,0,0,1,0,0,41,5,0,1,0,0,32,0,6,1,5,1,0,0,0,40,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\GeneralConsiderations.java,com.github.chistousov.lib.astm1394.record.GeneralConsiderations,class,0,0,0,0,1,1,0,1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,2,0,1,6,0,0,0,0,0,1,0,2,0,2,0,0,0,0,21,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\header\ProcessingId.java,com.github.chistousov.lib.astm1394.record.header.ProcessingId,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,42,7,0,1,0,0,19,0,6,1,5,1,0,0,0,61,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\order\ReportType.java,com.github.chistousov.lib.astm1394.record.order.ReportType,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,47,7,0,1,0,0,34,0,6,1,5,1,0,0,0,56,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\PatientInformationRecord.java,com.github.chistousov.lib.astm1394.record.patient.PatientInformationRecord,class,11,14,3,11,78,2,0,38,2418,0.95890415,0.03995434,0.8451294,73,0,73,0,0,0,73,0,0,0,35,0,0,35,0,0,0,0,8,375,36,0,5,0,0,2,72,102,2,71,1,0,0,14,134,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\ScientificRecord.java,com.github.chistousov.lib.astm1394.record.ScientificRecord,class,2,3,1,2,3,2,0,3,1,0.5,0,0,2,0,2,0,0,0,2,0,0,0,19,0,0,19,0,0,0,0,0,50,0,0,1,0,0,2,23,19,0,19,1,0,0,0,79,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\terminator\TerminationCode.java,com.github.chistousov.lib.astm1394.record.terminator.TerminationCode,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,46,7,0,1,0,0,31,0,6,1,5,1,0,0,0,46,1,0
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\order\Priority.java,com.github.chistousov.lib.astm1394.record.order.Priority,enum,1,3,2,1,10,1,0,4,0,0.5714286,0.4642857,0.75,7,1,6,0,0,1,8,0,0,0,4,1,0,4,0,0,1,0,0,43,7,0,1,0,0,22,0,6,1,5,1,0,0,0,31,1,0
