file,class,method,variable,usage
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",fullName,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",id,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",fullNameRus,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getFullName/0,fullName,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getBy/1[java.lang.String],codes,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getBy/1[java.lang.String],UNDEFINED,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getBy/1[java.lang.String],id,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,toString/0,id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,toString/0,fullNameRus,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getId/0,id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getFullNameRus/0,fullNameRus,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getIdForComponent/0,id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,getFullName/0,fullName,1
