file,class,method,variable,usage
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",fullName,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",id,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,"RequestInformationStatusCodes/3[java.lang.String,java.lang.String,java.lang.String]",fullNameRus,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getBy/1[java.lang.String],code,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\request\RequestInformationStatusCodes.java,com.github.chistousov.lib.astm1394.record.request.RequestInformationStatusCodes,getBy/1[java.lang.String],id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,getBy/1[java.lang.String],id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,getBy/1[java.lang.String],status,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,"ResultStatus/3[java.lang.String,java.lang.String,java.lang.String]",fullName,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,"ResultStatus/3[java.lang.String,java.lang.String,java.lang.String]",id,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\result\ResultStatus.java,com.github.chistousov.lib.astm1394.record.result.ResultStatus,"ResultStatus/3[java.lang.String,java.lang.String,java.lang.String]",fullNameRus,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,getBy/1[java.lang.String],id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,getBy/1[java.lang.String],maritalStatus,3
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,"MaritalStatus/3[java.lang.String,java.lang.String,java.lang.String]",fullName,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,"MaritalStatus/3[java.lang.String,java.lang.String,java.lang.String]",id,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\MaritalStatus.java,com.github.chistousov.lib.astm1394.record.patient.MaritalStatus,"MaritalStatus/3[java.lang.String,java.lang.String,java.lang.String]",fullNameRus,2
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\PatientReligion.java,com.github.chistousov.lib.astm1394.record.patient.PatientReligion,getBy/1[java.lang.String],id,1
C:\projects\ASTM1394\src\main\java\com\github\chistousov\lib\astm1394\record\patient\PatientReligion.java,com.github.chistousov.lib.astm1394.record.patient.PatientReligion,getBy/1[java.lang.String],patientReligion,3
