file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,class,17,18,1,17,10,2,0,11,3,0.6666667,0.0,0.0,3,0,2,1,0,0,2,0,0,0,4,0,0,4,0,0,0,0,0,37,3,0,5,0,0,2,2,5,0,8,3,0,0,1,44,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\debug\DebugMoveToComponent.java,org.terasology.module.behaviors.debug.DebugMoveToComponent,class,1,2,1,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,class,14,18,4,14,6,2,0,13,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,1,26,2,0,1,0,0,3,2,6,1,6,1,0,0,0,35,1,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,class,11,12,1,11,7,2,0,9,1,0.6666667,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,0,21,1,1,2,0,0,0,0,3,0,2,2,0,0,0,26,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,class,4,6,2,4,3,1,0,1,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,32,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,class,14,15,1,14,11,2,0,18,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,1,0,2,0,2,1,0,0,57,5,0,7,0,0,6,5,20,0,13,2,0,0,1,66,1,5
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,class,6,23,17,6,18,1,0,13,0,0.72727275,0.84444445,1.0,11,0,10,1,0,0,10,0,0,0,11,0,7,4,0,0,0,0,0,78,4,0,4,0,0,3,5,25,0,13,1,0,0,0,154,17,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\BuildWallComponent.java,org.terasology.module.behaviors.components.BuildWallComponent,class,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\CheckAttackStopAction.java,org.terasology.module.behaviors.actions.CheckAttackStopAction,class,11,12,1,11,13,2,0,9,3,0.6666667,NaN,NaN,3,0,1,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,47,6,0,4,0,1,1,2,13,1,9,1,0,0,0,57,1,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\TerritorialBehaviourSystem.java,org.terasology.module.behaviors.systems.TerritorialBehaviourSystem,class,13,14,1,13,4,2,0,7,3,0.8333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,4,1,1,3,0,0,0,0,0,21,0,1,0,0,0,0,0,7,0,6,1,0,0,0,43,1,0
