file,class,method,variable,usage
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],volume,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],audioManager,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],soundUrn,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],assetManager,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",logger,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"enqueue/2[org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.systems.CharacterMoveInputEvent]",eventQueue,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,update/1[float],eventQueue,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,copyFrom/1[org.terasology.module.behaviors.components.StrayRestrictionComponent],allowedRegion,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,StrayRestrictionComponent/1[org.terasology.module.behaviors.components.BlockAreac],allowedRegion,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",logger,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",isPathfindingRunning,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],pathfinderSystem,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],pluginSystem,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],logger,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],isPathfindingRunning,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.Vector3i],path,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.Vector3i],pathIndex,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.Vector3i],pathGoalEntity,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],path,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],sequenceNumber,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],targetTolerance,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],collidedHorizontally,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],pathIndex,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],movementTypes,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],lastInput,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],goalTolerance,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],pathGoalEntity,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,copyFrom/1[org.terasology.module.behaviors.components.MinionMoveComponent],target,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,advancePath/0,path,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,advancePath/0,pathIndex,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,advancePath/0,target,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.EntityRef],path,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.EntityRef],pathIndex,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.EntityRef],goalPosition,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.EntityRef],pathGoalEntity,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,resetPath/0,path,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,resetPath/0,pathIndex,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPath/1[java.util.List<org.terasology.module.behaviors.components.Vector3i>],path,6
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPath/1[java.util.List<org.terasology.module.behaviors.components.Vector3i>],pathIndex,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPath/1[java.util.List<org.terasology.module.behaviors.components.Vector3i>],target,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,getPathGoal/0,pathGoalEntity,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,getPathGoal/0,goalPosition,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,getPathIndex/0,pathIndex,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,getPath/0,path,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setGoalPosition/1[org.terasology.module.behaviors.components.Vector3i],goalPosition,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,isPathFinished/0,path,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,isPathFinished/0,pathIndex,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\BuildWallComponent.java,org.terasology.module.behaviors.components.BuildWallComponent,copyFrom/1[org.terasology.module.behaviors.components.BuildWallComponent],blockType,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\CheckAttackStopAction.java,org.terasology.module.behaviors.actions.CheckAttackStopAction,isTargetEntityOutOfFollowDistance/1[org.terasology.module.behaviors.actions.Actor],maxDistance,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\TerritorialBehaviourSystem.java,org.terasology.module.behaviors.systems.TerritorialBehaviourSystem,update/1[float],entityManager,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\TerritorialBehaviourSystem.java,org.terasology.module.behaviors.systems.TerritorialBehaviourSystem,initialise/0,territories,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\LogAction.java,org.terasology.module.behaviors.actions.LogAction,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",logger,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\LogAction.java,org.terasology.module.behaviors.actions.LogAction,construct/1[org.terasology.module.behaviors.actions.Actor],message,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\SetAnimationAction.java,org.terasology.module.behaviors.actions.SetAnimationAction,SetAnimationAction/0,random,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\SetAnimationAction.java,org.terasology.module.behaviors.actions.SetAnimationAction,construct/1[org.terasology.module.behaviors.actions.Actor],play,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\SetAnimationAction.java,org.terasology.module.behaviors.actions.SetAnimationAction,construct/1[org.terasology.module.behaviors.actions.Actor],random,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\SetAnimationAction.java,org.terasology.module.behaviors.actions.SetAnimationAction,construct/1[org.terasology.module.behaviors.actions.Actor],loop,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlayMusicAction.java,org.terasology.module.behaviors.actions.PlayMusicAction,construct/1[org.terasology.module.behaviors.actions.Actor],musicUrn,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlayMusicAction.java,org.terasology.module.behaviors.actions.PlayMusicAction,construct/1[org.terasology.module.behaviors.actions.Actor],volume,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlayMusicAction.java,org.terasology.module.behaviors.actions.PlayMusicAction,construct/1[org.terasology.module.behaviors.actions.Actor],audioManager,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlayMusicAction.java,org.terasology.module.behaviors.actions.PlayMusicAction,construct/1[org.terasology.module.behaviors.actions.Actor],assetManager,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\TargetComponent.java,org.terasology.module.behaviors.components.TargetComponent,copyFrom/1[org.terasology.module.behaviors.components.TargetComponent],target,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\LookAtAction.java,org.terasology.module.behaviors.actions.LookAtAction,"process/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.components.TargetComponent]",maxAngleDegrees,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\FlyingMovementPlugin.java,org.terasology.module.behaviors.plugin.FlyingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",logger,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\CompositeMovementPlugin.java,org.terasology.module.behaviors.plugin.CompositeMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",plugins,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\CompositeMovementPlugin.java,org.terasology.module.behaviors.plugin.CompositeMovementPlugin,"CompositeMovementPlugin/3[org.terasology.module.behaviors.plugin.WorldProvider,org.terasology.module.behaviors.plugin.Time,java.util.Collection<org.terasology.module.behaviors.plugin.MovementPlugin>]",plugins,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\CompositeMovementPlugin.java,org.terasology.module.behaviors.plugin.CompositeMovementPlugin,getPlugins/0,plugins,1
