file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],false,39,8,1,0,1,6,10,21,0,2,1,10,1,1,0,4,0,0,0,0,4,0,3,0,0,0,17,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",false,65,2,0,0,0,3,2,7,2,1,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,createEndListener/1[org.terasology.module.behaviors.actions.Actor],false,73,2,1,1,0,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"LeapingMovementPlugin/2[org.terasology.module.behaviors.plugin.WorldProvider,org.terasology.module.behaviors.plugin.Time]",true,23,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",false,38,8,3,0,3,3,11,13,1,4,3,11,0,0,0,1,0,0,3,1,4,0,1,0,0,0,21,1,1,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,LeapingMovementPlugin/0,true,27,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,getJpsPlugin/1[org.terasology.module.behaviors.plugin.EntityRef],false,32,5,1,0,1,1,2,4,1,1,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,15,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"enqueue/2[org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.systems.CharacterMoveInputEvent]",false,49,2,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,update/1[float],false,30,2,0,0,0,4,6,8,0,0,1,6,0,0,1,1,0,0,0,0,0,0,2,0,0,0,4,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"markHorizontalCollision/3[org.terasology.module.behaviors.systems.HorizontalCollisionEvent,org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.components.MinionMoveComponent]",false,41,4,0,0,0,2,0,6,1,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,9,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,copyFrom/1[org.terasology.module.behaviors.components.StrayRestrictionComponent],false,28,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,StrayRestrictionComponent/1[org.terasology.module.behaviors.components.BlockAreac],true,21,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,StrayRestrictionComponent/0,true,25,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",false,101,3,1,0,1,4,6,13,3,1,2,6,0,0,0,1,0,0,3,0,1,0,1,0,0,0,18,1,3,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],false,49,8,2,0,2,7,15,38,2,8,1,15,0,0,0,6,0,0,2,5,17,0,2,0,0,1,32,1,2,false
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\MinionMoveComponent.java,org.terasology.module.behaviors.components.MinionMoveComponent,setPathGoal/1[org.terasology.module.behaviors.components.Vector3i],false,107,2,2,0,2,1,2,5,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,31,1,0,true
