file,class,method,variable,usage
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],actor,5
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],worldPosition,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,construct/1[org.terasology.module.behaviors.actions.Actor],snd,3
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",actor,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",result,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",playing,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,createEndListener/1[org.terasology.module.behaviors.actions.Actor],actor,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\PlaySoundAction.java,org.terasology.module.behaviors.actions.PlaySoundAction,createEndListener/1[org.terasology.module.behaviors.actions.Actor],interrupted,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"LeapingMovementPlugin/2[org.terasology.module.behaviors.plugin.WorldProvider,org.terasology.module.behaviors.plugin.Time]",world,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"LeapingMovementPlugin/2[org.terasology.module.behaviors.plugin.WorldProvider,org.terasology.module.behaviors.plugin.Time]",time,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",dt,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",sequence,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",delta,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",dest,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",movement,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",entity,5
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,"move/3[org.terasology.module.behaviors.plugin.EntityRef,org.terasology.module.behaviors.plugin.Vector3fc,int]",yaw,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,getJpsPlugin/1[org.terasology.module.behaviors.plugin.EntityRef],component,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\plugin\LeapingMovementPlugin.java,org.terasology.module.behaviors.plugin.LeapingMovementPlugin,getJpsPlugin/1[org.terasology.module.behaviors.plugin.EntityRef],entity,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"enqueue/2[org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.systems.CharacterMoveInputEvent]",event,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"enqueue/2[org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.systems.CharacterMoveInputEvent]",entity,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,update/1[float],entry,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,update/1[float],delta,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"markHorizontalCollision/3[org.terasology.module.behaviors.systems.HorizontalCollisionEvent,org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.components.MinionMoveComponent]",minionMoveComponent,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"markHorizontalCollision/3[org.terasology.module.behaviors.systems.HorizontalCollisionEvent,org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.components.MinionMoveComponent]",event,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\systems\MinionMoveSystem.java,org.terasology.module.behaviors.systems.MinionMoveSystem,"markHorizontalCollision/3[org.terasology.module.behaviors.systems.HorizontalCollisionEvent,org.terasology.module.behaviors.systems.EntityRef,org.terasology.module.behaviors.components.MinionMoveComponent]",entity,0
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,copyFrom/1[org.terasology.module.behaviors.components.StrayRestrictionComponent],other,1
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\components\StrayRestrictionComponent.java,org.terasology.module.behaviors.components.StrayRestrictionComponent,StrayRestrictionComponent/1[org.terasology.module.behaviors.components.BlockAreac],allowedRegion,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",actor,4
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",result,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,"modify/2[org.terasology.module.behaviors.actions.Actor,org.terasology.module.behaviors.actions.BehaviorState]",minionMoveComponent,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],actor,9
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],minionMoveComponent,2
C:\projects\Behaviors\src\main\java\org\terasology\module\behaviors\actions\FindPathToNode.java,org.terasology.module.behaviors.actions.FindPathToNode,construct/1[org.terasology.module.behaviors.actions.Actor],path,4
