file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice$Anonymous1,anonymous,1,1,0,1,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,1,0,1,1,0,0,0,7,-1,0
C:\projects\Billing-System\src\Sale.java,Sale,class,1,3,2,1,6,5,0,16,0,0.4761905,1.0,1.0,3,2,3,0,0,0,3,0,0,0,6,1,0,2,0,4,0,0,2,137,0,3,0,0,0,54,76,34,3,34,2,4,0,0,54,1,0
C:\projects\Billing-System\src\Invoice.java,Invoice,class,0,1,1,0,1,5,0,11,0,0.26666668,NaN,NaN,1,0,1,0,0,0,1,0,0,0,15,1,0,6,0,9,0,0,0,189,0,0,0,0,0,29,102,26,0,27,0,4,0,0,59,1,0
C:\projects\Billing-System\src\addProduct.java,addProduct,class,0,1,1,0,1,5,0,8,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,8,0,0,0,0,8,0,0,0,80,0,0,0,0,0,16,59,13,0,17,0,1,0,0,38,1,0
C:\projects\Billing-System\src\updateProduct.java,updateProduct,class,0,1,1,0,1,5,0,9,0,0.45454547,NaN,NaN,1,0,1,0,0,0,1,0,0,0,9,0,0,1,0,8,0,0,0,107,0,0,0,0,0,16,59,13,0,17,0,2,0,0,45,1,0
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,class,2,4,2,2,6,6,0,25,1,0.44444445,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,3,0,0,1,0,2,0,0,2,70,0,0,0,0,0,11,16,11,0,9,1,1,0,0,49,1,0
C:\projects\Billing-System\src\deleteCashier.java,deleteCashier,class,0,1,1,0,1,5,0,7,0,0.42857143,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,2,0,3,0,0,0,51,0,0,0,0,0,9,36,8,0,10,0,1,0,0,30,1,0
C:\projects\Billing-System\src\searchCashier.java,searchCashier$Anonymous1,anonymous,1,1,0,1,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,3,0,1,0,0,1,0,0,0,7,-1,0
C:\projects\Billing-System\src\Login.java,Login$Anonymous1,anonymous,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,1,0,1,0,1,0,1,1,0,0,0,8,-1,0
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-1,0
C:\projects\Billing-System\src\deleteProduct.java,deleteProduct$Anonymous1,anonymous,1,1,0,1,2,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,3,0,1,0,0,1,0,0,0,7,-1,0
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous2,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,-1,0
C:\projects\Billing-System\src\showStock.java,showStock$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous2,anonymous,1,1,0,1,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0,0,6,0,4,0,0,1,0,0,0,10,-1,0
C:\projects\Billing-System\src\updateProduct.java,updateProduct$Anonymous1,anonymous,1,1,0,1,9,1,0,8,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,1,0,0,3,7,2,1,1,2,0,0,0,11,-1,0
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous2,anonymous,1,1,0,1,6,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,36,3,0,0,0,1,15,2,9,2,6,1,0,0,0,16,-1,0
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous3,anonymous,2,2,0,2,4,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,2,1,0,0,1,4,7,1,4,2,0,0,0,11,-1,0
C:\projects\Billing-System\src\Invoice.java,Invoice$Anonymous4,anonymous,1,1,0,1,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,0,0,0,2,5,5,1,4,2,0,0,0,10,-1,0
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous4,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
C:\projects\Billing-System\src\pdfGenerator.java,pdfGenerator,class,10,13,3,10,13,1,0,17,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,116,0,2,0,4,0,26,20,31,6,31,2,0,0,0,72,1,0
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous2,anonymous,1,1,0,1,2,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,-1,0
C:\projects\Billing-System\src\deleteProduct.java,deleteProduct,class,0,1,1,0,1,5,0,7,0,0.4,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,1,0,3,0,0,0,43,0,0,0,0,0,7,27,6,0,7,0,1,0,0,27,1,0
C:\projects\Billing-System\src\Sale.java,Sale$Anonymous3,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,0
