file,class,method,variable,usage
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,date,4
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,comp,7
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,sale,4
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,dtm,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",dt,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",com,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",dtm,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",dt,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",com,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",dtm,2
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,pQuan,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,UnitPrice,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblName,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,cType,7
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,dField,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,gtotal,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,name,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,pID,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,dtm,2
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,error,4
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,items,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,idField,4
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,quanField,4
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,descField,4
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,company,6
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,error,4
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,idField,5
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,quanField,4
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,descField,4
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,btnUpdateProduct,4
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,company,6
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,error,4
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,actionPerformed/1[java.awt.event.ActionEvent],panels,4
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,actionPerformed/1[java.awt.event.ActionEvent],jp,4
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,generateInvoice/0,panels,3
