file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice$Anonymous1,run/0,false,28,1,2,0,2,2,2,9,0,1,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,true,26,0,2,1,1,1,8,87,0,9,0,8,0,0,0,0,0,0,19,50,13,0,0,4,0,0,54,1,0,true
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",false,151,1,2,1,1,3,8,24,0,11,2,8,0,0,2,0,0,0,35,15,12,2,2,0,0,0,12,9,0,false
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",false,134,1,2,1,1,2,6,18,0,7,2,6,0,0,1,0,0,0,0,11,8,1,1,0,0,0,10,9,0,false
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,true,40,0,2,1,1,1,11,172,0,12,0,11,0,0,0,0,0,0,29,100,23,0,0,4,0,0,81,1,0,true
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,true,29,0,2,1,1,1,8,70,0,7,0,8,0,0,0,0,0,0,15,59,12,0,0,1,0,0,40,1,0,true
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,true,34,0,2,1,1,1,9,96,0,6,0,9,0,0,0,0,0,0,15,59,12,0,0,2,0,0,48,1,0,true
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,actionPerformed/1[java.awt.event.ActionEvent],false,79,0,0,0,0,4,11,23,0,0,1,11,0,0,0,0,0,0,5,4,2,0,1,0,0,0,10,1,0,false
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,main/1[java.lang.String[]],false,26,0,1,0,1,1,1,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,9,0,true
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice,generateInvoice/0,true,42,2,4,2,2,1,17,28,0,6,0,17,0,0,0,0,0,0,6,12,8,0,0,0,0,0,36,1,0,true
