file,class,method,variable,usage
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice$Anonymous1,run/0,e,1
C:\projects\Billing-System\src\generateInvoice.java,generateInvoice$Anonymous1,run/0,frame,1
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,s,2
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,btnLoad,3
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,btnPrint,3
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,ms,4
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,lblMm,2
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,header,1
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,lblDate,3
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,lblCompany,3
C:\projects\Billing-System\src\Sale.java,Sale,Sale/0,ds,5
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",com,1
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",date,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",sz,1
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",i,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",dt,1
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",s,1
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",x,3
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",sl,10
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",x1,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",x2,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",x3,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",x4,2
C:\projects\Billing-System\src\Sale.java,Sale,"monthlySale/2[java.lang.String,java.lang.String]",ndt,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",dt,1
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",com,1
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",sz,1
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",x,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",sl,10
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",x1,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",x2,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",x3,2
C:\projects\Billing-System\src\Sale.java,Sale,"dailySale/2[java.lang.String,java.lang.String]",x4,2
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,s,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,btnAdd,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,btnPrint,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblCustomer,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,delbutton,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,header,1
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblQuantity,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,label,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblGrandTotal,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblProductId,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblUnitPrice,3
C:\projects\Billing-System\src\Invoice.java,Invoice,Invoice/0,lblDeleteProduct,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,lblProductDescription,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,btnAddProduct,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,lblAddProduct,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,scroll,2
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,lblCompany,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,lblQuantity,3
C:\projects\Billing-System\src\addProduct.java,addProduct,addProduct/0,lblProductName,3
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,lblProductDescription,3
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,scroll,2
C:\projects\Billing-System\src\updateProduct.java,updateProduct,updateProduct/0,lblUpdateProduct,3
