file,class,method,variable,usage
C:\projects\Calculator\src\test\java\com\houarizegai\calculator\CalculatorTest.java,com.houarizegai.calculator.CalculatorTest,testCalc/0,e,1
C:\projects\Calculator\src\test\java\com\houarizegai\calculator\CalculatorTest.java,com.houarizegai.calculator.CalculatorTest,testCalc/0,first,6
C:\projects\Calculator\src\test\java\com\houarizegai\calculator\CalculatorTest.java,com.houarizegai.calculator.CalculatorTest,testCalc/0,second,6
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,main/1[java.lang.String[]],args,0
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",x,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",y,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",label,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",event,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initBtn/4[java.lang.String,int,int,java.awt.event.ActionListener]",btn,7
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",x,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",toolTip,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",y,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",consumerEvent,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",combo,6
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"initCombo/5[java.lang.String[],int,int,java.lang.String,java.util.function.Consumer]",items,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"calc/3[double,java.lang.String,char]",input,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"calc/3[double,java.lang.String,char]",opt,1
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"calc/3[double,java.lang.String,char]",x,6
C:\projects\Calculator\src\main\java\com\houarizegai\calculator\Calculator.java,com.houarizegai.calculator.Calculator,"calc/3[double,java.lang.String,char]",y,7
