file,class,method,variable,usage
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,updateUI/1[com.aaars.b.UserData],userData,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],getLocation,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],wiFiOnTimer,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],mNav,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],geoFencing,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],smsWiFiOn,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],helpButton,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],USER_ID,3
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],toggle,3
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],xkcd,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],lowBatterySMS,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],wiFiTimer,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],locationWiFi,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],dr,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],volumeMax,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],mFrame,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],quotesEmail,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],lostPhone,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],rss,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],moduleDesignFragment,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],intentData,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],MODULE_ID,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],volumeMin,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onCreate/1[com.aaars.b.Bundle],smsWiFiOff,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,logout/0,logout,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,logout/0,mGoogleSignInClient,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,logout/0,mAuth,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onStart/0,i,1
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onNavigationItemSelected/1[com.aaars.b.MenuItem],logout,2
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onNavigationItemSelected/1[com.aaars.b.MenuItem],i,12
C:\projects\automator\app\src\main\java\com\aaars\b\ModuleDesign.java,com.aaars.b.ModuleDesign,onNavigationItemSelected/1[com.aaars.b.MenuItem],USER_ID,3
C:\projects\automator\app\src\main\java\com\aaars\b\DiscoverFragment.java,com.aaars.b.DiscoverFragment,"onCreateView/3[com.aaars.b.LayoutInflater,com.aaars.b.ViewGroup,com.aaars.b.Bundle]",data,1
C:\projects\automator\app\src\main\java\com\aaars\b\DiscoverFragment.java,com.aaars.b.DiscoverFragment,initializeData/0,data,16
C:\projects\automator\app\src\main\java\com\aaars\b\GMailSender.java,com.aaars.b.GMailSender,getPasswordAuthentication/0,password,1
C:\projects\automator\app\src\main\java\com\aaars\b\GMailSender.java,com.aaars.b.GMailSender,getPasswordAuthentication/0,user,1
C:\projects\automator\app\src\main\java\com\aaars\b\GMailSender.java,com.aaars.b.GMailSender,"GMailSender/2[java.lang.String,java.lang.String]",password,3
C:\projects\automator\app\src\main\java\com\aaars\b\GMailSender.java,com.aaars.b.GMailSender,"GMailSender/2[java.lang.String,java.lang.String]",mailhost,1
C:\projects\automator\app\src\main\java\com\aaars\b\GMailSender.java,com.aaars.b.GMailSender,"GMailSender/2[java.lang.String,java.lang.String]",session,1
