file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,class,6,6,0,6,20,1,0,30,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,6,121,0,0,2,0,0,51,9,46,3,46,0,0,0,0,63,0,0
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,class,3,5,2,3,10,3,0,11,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,32,4,1,0,0,1,2,4,3,1,2,2,0,0,0,25,1,0
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\result\IngestionErrorCode.java,com.microsoft.azure.kusto.ingest.result.IngestionErrorCode,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
C:\projects\azure-kusto-java\samples\src\main\java\Query.java,Query,class,7,7,0,7,3,1,0,18,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,21,0,1,0,1,0,9,4,8,0,7,2,0,0,0,27,1,0
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,class,9,10,1,9,4,1,0,19,0,0.0,1.0,1.0,3,3,1,0,0,2,3,0,0,0,4,4,0,4,0,0,0,0,13,56,0,0,0,1,0,16,5,23,6,17,1,0,0,0,40,1,0
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\exceptions\IngestionServiceException.java,com.microsoft.azure.kusto.ingest.exceptions.IngestionServiceException,class,0,7,7,0,4,3,0,0,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,1,0,1,0,0,0,0,8,1,0
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\source\BlobSourceInfo.java,com.microsoft.azure.kusto.ingest.source.BlobSourceInfo,class,2,11,9,2,8,2,0,2,0,0.3125,0.71428573,1.0,8,0,8,0,0,0,8,0,0,0,2,0,0,2,0,0,0,0,1,31,2,0,0,0,0,1,0,7,0,2,0,0,0,0,23,1,0
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\ResourceManager.java,com.microsoft.azure.kusto.ingest.ResourceManager$1RefreshIngestionAuthTokenTask,innerclass,2,2,0,2,2,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,1,0,0,0,0,1,0,0,0,11,0,1
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\format\CslTimespanFormat.java,com.microsoft.azure.kusto.data.format.CslTimespanFormat,class,3,6,3,3,15,2,0,19,0,0.6666667,0.6,0.6,5,0,4,0,0,1,5,0,0,0,3,2,2,1,0,0,3,0,7,57,3,1,2,0,0,10,6,20,2,10,3,0,0,0,46,1,0
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\auth\ConfidentialAppTokenProviderBase.java,com.microsoft.azure.kusto.data.auth.ConfidentialAppTokenProviderBase,class,9,13,4,9,9,4,3,12,4,0.6,0.3,0.3,5,0,0,0,4,1,5,1,0,0,2,0,0,0,0,2,1,0,1,40,2,0,1,2,0,1,0,5,0,5,1,0,0,0,46,1025,0
C:\projects\azure-kusto-java\ingest\src\test\java\com\microsoft\azure\kusto\ingest\AzureStorageClientTest.java,com.microsoft.azure.kusto.ingest.AzureStorageClientTest,class,6,6,0,6,27,1,0,22,0,0.70987654,0.79202276,1.0,27,1,0,0,0,27,27,0,0,0,6,6,0,6,0,0,1,0,2,114,0,0,0,6,0,31,0,14,0,14,1,0,0,21,70,0,0
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\auth\PublicAppTokenProviderBase.java,com.microsoft.azure.kusto.data.auth.PublicAppTokenProviderBase,class,7,10,3,7,4,4,2,10,1,0.5,0.33333334,0.33333334,3,0,0,0,2,1,3,0,0,0,2,0,0,0,2,0,0,0,0,21,1,0,0,1,0,0,0,3,0,3,1,0,0,0,39,1025,0
