file,class,method,variable,usage
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,KustoServiceQueryError/1[java.lang.String],exceptions,2
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,isPermanent/0,exceptions,3
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,"KustoServiceQueryError/3[com.microsoft.azure.kusto.data.exceptions.JSONArray,boolean,java.lang.String]",exceptions,3
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,getExceptions/0,exceptions,1
C:\projects\azure-kusto-java\data\src\main\java\com\microsoft\azure\kusto\data\exceptions\KustoServiceQueryError.java,com.microsoft.azure.kusto.data.exceptions.KustoServiceQueryError,toString/0,exceptions,2
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,main/1[java.lang.String[]],database,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,main/1[java.lang.String[]],mapping,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,main/1[java.lang.String[]],streamingIngestClient,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,main/1[java.lang.String[]],table,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromFile/0,database,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromFile/0,mapping,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromFile/0,table,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromFile/0,streamingIngestClient,2
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromStream/0,database,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromStream/0,mapping,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromStream/0,table,1
C:\projects\azure-kusto-java\samples\src\main\java\StreamingIngest.java,StreamingIngest,ingestFromStream/0,streamingIngestClient,3
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\exceptions\IngestionServiceException.java,com.microsoft.azure.kusto.ingest.exceptions.IngestionServiceException,"IngestionServiceException/3[java.lang.String,java.lang.String,java.lang.Exception]",ingestionSource,3
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\exceptions\IngestionServiceException.java,com.microsoft.azure.kusto.ingest.exceptions.IngestionServiceException,getIngestionSource/0,ingestionSource,1
C:\projects\azure-kusto-java\ingest\src\main\java\com\microsoft\azure\kusto\ingest\source\BlobSourceInfo.java,com.microsoft.azure.kusto.ingest.source.BlobSourceInfo,getRawSizeInBytes/0,rawSizeInBytes,1
