file,class,method,variable,usage
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationCslFormat/0,paramName,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationCslFormat/0,testDuration,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testCreateCslDateTimeFormatFromStringWithTypeAndValue/0,result,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testCreateCslDateTimeFormatFromStringWithTypeAndValue/0,localDateTimeString,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testCreateCslDateTimeFormatFromString/0,result,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testCreateCslDateTimeFormatFromString/0,localDateTimeString,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,stringToProperties/0,crp,6
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,stringToProperties/0,properties,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDateCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDateCslFormat/0,paramName,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDateCslFormat/0,testDate,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationWithDaysCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationWithDaysCslFormat/0,testDurationWithDays,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDurationWithDaysCslFormat/0,paramName,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithBooleanCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithBooleanCslFormat/0,testBool,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithBooleanCslFormat/0,paramName,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDoubleCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDoubleCslFormat/0,paramName,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithDoubleCslFormat/0,testDouble,1
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithIntCslFormat/0,crp,2
C:\projects\azure-kusto-java\data\src\test\java\com\microsoft\azure\kusto\data\ClientRequestPropertiesTest.java,com.microsoft.azure.kusto.data.ClientRequestPropertiesTest,testSetPropertyWithIntCslFormat/0,paramName,2
