file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,class,2,4,2,2,1,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,12,12,12,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,12,0,0,0,0,22,1,0
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,class,7,10,3,7,54,1,0,38,0,0.125,0.75,0.75,8,2,8,0,0,0,8,0,0,0,1,1,0,0,1,0,0,0,23,307,9,2,22,21,0,56,7,84,7,59,3,0,0,0,73,1,7
C:\projects\cms\gui\src\main\java\org\dew\cms\common\ISottocategoria.java,org.dew.cms.common.ISottocategoria,interface,0,2,2,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,7,0,0,0,0,0,5,0,5,0,5,0,0,0,0,16,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,class,7,11,4,7,35,2,0,52,6,0.6923077,0.46153846,0.5769231,13,0,5,0,8,0,13,0,0,0,8,1,0,1,7,0,1,0,1,218,13,3,4,1,0,16,26,34,16,33,5,2,0,0,95,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUITag.java,org.dew.cms.gui.forms.GUITag,class,12,16,4,12,47,2,0,73,140,0.8177083,0.24637681,0.38405797,24,0,5,0,19,0,24,0,0,0,8,1,0,1,7,0,1,0,3,333,17,1,7,0,1,27,20,76,4,70,2,5,0,0,144,1,0
C:\projects\cms\src\main\java\org\dew\cms\Page.java,org.dew.cms.Page,class,4,8,4,4,130,1,0,21,817,0.9163121,0.12210916,0.9158187,47,1,47,0,0,0,47,0,0,0,15,1,0,15,0,0,1,0,0,307,63,11,53,0,5,15,56,72,11,47,3,0,0,0,80,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\common\ILingua.java,org.dew.cms.common.ILingua,interface,0,2,2,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,4,0,0,6,0,0,0,0,0,4,0,4,0,4,0,0,0,0,14,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPPrezzi.java,org.dew.cms.gui.forms.DPPrezzi,class,6,9,3,6,37,2,0,43,0,0.6752137,0.5769231,0.7051282,13,0,5,0,8,0,13,0,0,0,9,1,0,1,8,0,1,0,2,176,14,2,5,1,0,22,22,33,9,32,6,1,0,0,99,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUIUtenti.java,org.dew.cms.gui.forms.GUIUtenti,class,9,11,2,9,77,2,0,99,106,0.8,0.32333332,0.41,25,0,3,0,22,0,25,0,0,0,8,1,0,1,7,0,1,0,9,424,21,4,19,1,1,69,44,111,10,94,4,3,0,0,190,1,0
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\GUILingue.java,org.dew.cms.gui.forms.GUILingue,class,6,7,1,6,34,2,0,56,82,0.71428573,0.30476192,0.37142858,21,0,2,0,19,0,21,0,0,0,5,1,0,1,4,0,1,0,0,244,15,0,3,0,0,20,16,62,3,57,1,2,0,0,109,1,0
