file,class,method,variable,usage
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapDescSot,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,view,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapDescCat,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapDescPag,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapCodeTag,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapDescTip,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapTagsPrev,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapYears,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapTags,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapMonths,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,mapCount,1
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,home,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"update/1[java.util.Map<java.lang.String,java.lang.Object>]",oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,delete/1[int],oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"setEnabled/2[int,boolean]",oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"find/1[java.util.Map<java.lang.String,java.lang.Object>]",oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,read/1[int],oLogger,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"lookup/1[java.util.Map<java.lang.String,java.lang.Object>]",oLogger,1
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveUp/0,oRecords,5
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveUp/0,oTableModel,1
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveUp/0,oTable,2
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveDown/0,oRecords,5
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveDown/0,oTableModel,1
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveDown/0,oTable,2
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],oRecords,1
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],oTable,1
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],btnRemove,2
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],btnMoveUp,2
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],btnMoveDown,2
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,getData/0,oRecords,1
