file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\cms\src\main\java\org\dew\cms\util\CMSCache.java,org.dew.cms.util.CMSCache,clear/0,false,30,0,2,2,0,1,5,14,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,9,0,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",false,181,4,8,0,8,7,18,47,1,10,1,18,0,0,0,3,3,0,7,1,13,0,3,0,0,0,40,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"update/1[java.util.Map<java.lang.String,java.lang.Object>]",false,233,4,6,0,6,7,16,44,1,10,1,16,0,0,0,3,3,0,6,1,14,1,3,0,0,0,42,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,delete/1[int],false,317,2,3,0,3,7,11,32,2,3,1,11,0,0,0,3,3,0,3,1,6,1,3,0,0,0,32,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"setEnabled/2[int,boolean]",false,282,3,4,0,4,7,13,33,1,3,2,13,0,0,0,3,3,0,4,2,6,1,3,0,0,0,33,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"find/1[java.util.Map<java.lang.String,java.lang.Object>]",false,88,3,5,0,5,8,16,49,1,12,1,16,0,0,1,3,3,0,13,0,16,1,3,0,0,0,38,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,lookup/0,false,30,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,read/1[int],false,137,3,5,0,5,8,15,45,1,9,1,15,0,0,0,3,3,0,10,1,13,1,3,0,0,0,34,1,1,false
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"lookup/1[java.util.Map<java.lang.String,java.lang.Object>]",false,37,2,8,2,6,9,15,51,1,11,1,15,0,0,1,4,3,0,13,1,15,2,3,0,0,0,38,9,1,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveUp/0,false,171,0,1,1,0,3,7,10,1,3,0,7,0,0,0,0,0,0,0,5,3,4,1,0,0,0,6,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,actionPerformed/1[java.awt.event.ActionEvent],false,90,1,4,0,4,7,7,13,1,1,1,7,4,1,0,1,1,0,4,0,1,0,5,0,0,0,16,1,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,moveDown/0,false,187,0,1,1,0,3,7,10,1,3,0,7,0,0,0,0,0,0,0,6,3,5,1,0,0,0,6,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,valueChanged/1[javax.swing.event.ListSelectionEvent],false,106,0,0,0,0,4,4,13,2,1,1,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,10,1,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,getData/0,false,84,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,addItem/0,false,141,2,3,1,2,1,8,10,0,3,0,8,0,0,0,0,0,0,1,6,3,6,0,0,0,0,14,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,removeItem/0,false,156,1,1,1,0,4,6,12,1,4,0,6,0,0,2,1,0,0,0,3,4,0,1,0,0,0,9,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,"addRecord/1[java.util.Map<java.lang.String,java.lang.Object>]",false,122,0,1,1,0,6,8,15,3,4,1,8,0,0,1,2,0,0,2,1,4,1,2,0,0,0,12,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,buildGUI/0,false,204,1,2,0,2,1,3,6,1,1,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,14,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,buildButtonsPanel/0,false,291,0,1,1,0,1,5,21,1,2,0,5,0,0,0,0,0,0,6,2,6,0,0,0,0,0,22,4,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,setEnabled/1[boolean],false,62,0,0,0,0,1,3,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\cms\gui\src\main\java\org\dew\cms\gui\forms\DPArticoli.java,org.dew.cms.gui.forms.DPArticoli,setData/1[java.lang.Object],false,73,0,0,0,0,2,4,8,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
