file,class,method,variable,usage
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",conn,6
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",iId,2
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",wmValues,2
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",mapValues,3
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",pstm,8
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",sDescrizione,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",sCodice,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",sSQL,1
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",p,4
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",qb,5
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",ex,3
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",exut,0
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"insert/1[java.util.Map<java.lang.String,java.lang.Object>]",ut,5
C:\projects\cms\src\main\java\org\dew\cms\ws\WSIstituti.java,org.dew.cms.ws.WSIstituti,"update/1[java.util.Map<java.lang.String,java.lang.Object>]",conn,5
