file,class,method,variable,usage
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271$B,getA/0,a,1
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\issue_1200\Issue1271.java,com.alibaba.json.bvt.issue_1200.Issue1271$B,setA/1[int],a,3
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,setValue/1[int],value,3
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\writeAsArray\WriteAsArray_list_obj_first_public.java,com.alibaba.json.bvt.writeAsArray.WriteAsArray_list_obj_first_public$A,getValue/0,value,1
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1$Point,"Point/2[int,int]",x,3
C:\projects\fastjson\src\test\java\com\alibaba\json\bvt\bug\Issue869_1.java,com.alibaba.json.bvt.bug.Issue869_1$Point,"Point/2[int,int]",y,3
C:\projects\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,"remove/2[java.lang.Object,java.lang.String]",path,2
C:\projects\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,"deepGetObjects/2[java.lang.Object,java.util.List<java.lang.Object>]",path,1
C:\projects\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,"JSONPath/4[java.lang.String,com.alibaba.fastjson.serializer.SerializeConfig,com.alibaba.fastjson.parser.ParserConfig,boolean]",ignoreNullValue,3
C:\projects\fastjson\src\main\java\com\alibaba\fastjson\JSONPath.java,com.alibaba.fastjson.JSONPath,"JSONPath/4[java.lang.String,com.alibaba.fastjson.serializer.SerializeConfig,com.alibaba.fastjson.parser.ParserConfig,boolean]",path,5
