file,class,method,variable,usage
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCacheNames/0,proxy,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,"FluuzCacheManager/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.CacheManager]",proxy,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,"FluuzCacheManager/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.CacheManager]",eventManager,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],proxy,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],cacheMap,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],eventManager,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,FluuzCacheManager/1[com.mitchwood.fluuz.EventManager],proxy,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,FluuzCacheManager/1[com.mitchwood.fluuz.EventManager],eventManager,3
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,beforeAll/0,redisServer,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,beforeAll/0,eventManager,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,cleanup/0,redisServer,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,cleanup/0,eventManager,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,testPut/0,eventManager,3
