file,class,method,variable,usage
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,"FluuzCacheManager/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.CacheManager]",eventManager,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,"FluuzCacheManager/2[com.mitchwood.fluuz.EventManager,com.mitchwood.fluuz.CacheManager]",cacheManager,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],cache,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],name,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,getCache/1[java.lang.String],fluuzCache,6
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCacheManager.java,com.mitchwood.fluuz.FluuzCacheManager,FluuzCacheManager/1[com.mitchwood.fluuz.EventManager],eventManager,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onPMessage/3[java.lang.String,java.lang.String,java.lang.String]",pattern,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onPMessage/3[java.lang.String,java.lang.String,java.lang.String]",channel,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onPMessage/3[java.lang.String,java.lang.String,java.lang.String]",message,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",cacheName,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",channel,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",parts,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",message,5
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager$Anonymous1,"onMessage/2[java.lang.String,java.lang.String]",key,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,cleanup/0,e,1
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,testPut/0,proxy,5
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,testPut/0,vw,4
C:\projects\fluuz\src\test\java\com\mitchwood\fluuz\RedisEventManagerTest.java,com.mitchwood.fluuz.RedisEventManagerTest,testPut/0,fluuzCache,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,doEvict/1[java.lang.String],cache,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,doEvict/1[java.lang.String],cacheName,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,RedisEventManager/1[java.lang.String],host,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,evict/1[java.lang.String],name,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,evict/1[java.lang.String],message,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"evict/2[java.lang.String,java.lang.Object]",name,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"evict/2[java.lang.String,java.lang.Object]",message,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"evict/2[java.lang.String,java.lang.Object]",key,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,setSeparator/1[java.lang.String],separator,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"RedisEventManager/2[java.lang.String,int]",r,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"RedisEventManager/2[java.lang.String,int]",port,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"RedisEventManager/2[java.lang.String,int]",host,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"RedisEventManager/2[java.lang.String,int]",poolConfig,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,register/1[com.mitchwood.fluuz.FluuzCache],previous,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,register/1[com.mitchwood.fluuz.FluuzCache],fluuzCache,4
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,setChannelName/1[java.lang.String],channelName,3
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"doEvict/2[java.lang.String,java.lang.String]",proxy,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"doEvict/2[java.lang.String,java.lang.String]",cache,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"doEvict/2[java.lang.String,java.lang.String]",cacheName,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\RedisEventManager.java,com.mitchwood.fluuz.RedisEventManager,"doEvict/2[java.lang.String,java.lang.String]",key,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,get/1[java.lang.Object],key,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,evict/1[java.lang.Object],key,2
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.lang.Class<T>]",type,1
C:\projects\fluuz\src\main\java\com\mitchwood\fluuz\FluuzCache.java,com.mitchwood.fluuz.FluuzCache,"get/2[java.lang.Object,java.lang.Class<T>]",key,1
